site_type,site,source,site-functional
NL-clickbait,ahealthyme.nl,dehoaxwizer,1
NL-clickbait,apost.com,dehoaxwizer,1
NL-clickbait,belfort-group.eu ,dehoaxwizer,1
NL-clickbait,bestgezond.nl,dehoaxwizer,1
NL-clickbait,bewustnieuws.nl,dehoaxwizer,1
NL-clickbait,blikopnosjournaal.blogspot.nl,dehoaxwizer,1
NL-clickbait,boinnk.nl,dehoaxwizer,1
NL-clickbait,brekendnieuws.nl,dehoaxwizer,1
NL-clickbait,dagelijks.nu,dehoaxwizer,1
NL-clickbait,dagelijksbizar.com,dehoaxwizer,0
NL-clickbait,Dagelijksfilmpje.nl,dehoaxwizer,1
NL-clickbait,dagelijksekrant.nl,dehoaxwizer,0
NL-clickbait,echtekrant.be,dehoaxwizer,1
NL-clickbait,delangemars.nl,dehoaxwizer,1
NL-clickbait,destillewaarheid.nl,dehoaxwizer,1
NL-clickbait,dierenliefde.com,dehoaxwizer,0
NL-clickbait,duurzaamnieus.nl,dehoaxwizer,0
NL-clickbait,earth-matters.nl,dehoaxwizer,1
NL-clickbait,ellaster.nl,dehoaxwizer,1
NL-clickbait,gewoon-nieuws.nl ,dehoaxwizer,1
NL-clickbait,healthbytes.me,dehoaxwizer,1
NL-clickbait,healthunity.pw ,dehoaxwizer,1
NL-clickbait,healthwatch.nu,dehoaxwizer,1
NL-clickbait,Hetdelenwaard.nl,dehoaxwizer,1
NL-clickbait,jdreport.com,dehoaxwizer,1
NL-clickbait,journaalflash.wordpress.com,dehoaxwizer,1
NL-clickbait,kijkhet.nl,dehoaxwizer,0
NL-clickbait,klokkenluideronline.is,dehoaxwizer,1
NL-clickbait,langleveeuropa.nl,dehoaxwizer,1
NL-clickbait,leeftips.nl,dehoaxwizer,1
NL-clickbait,leeshet.nu,dehoaxwizer,0
NL-clickbait,leeshetnu.nl,dehoaxwizer,1
NL-clickbait,Lekkerwonen.org,dehoaxwizer,1
NL-clickbait,likemag.com,dehoaxwizer,1
NL-clickbait,zonnewind.be,dehoaxwizer,0
NL-clickbait,lijstverse.nl,dehoaxwizer,1
NL-clickbait,livekijken.nl,dehoaxwizer,1
NL-clickbait,Copernicusmarkpeeters.skynetblogs.be,dehoaxwizer,0
NL-clickbait,martinvrijland.nl,dehoaxwizer,1
NL-clickbait,misdaadnederland.nl,dehoaxwizer,0
NL-clickbait,modesteden.nl,dehoaxwizer,0
NL-clickbait,koffiepauze.com,dehoaxwizer,0
NL-clickbait,niet100.tv,dehoaxwizer,1
NL-clickbait,nieuwetijdskind.com,dehoaxwizer,1
NL-clickbait,nieuws-dump.nl,dehoaxwizer,1
NL-clickbait,nieuwsflits.co,dehoaxwizer,0
NL-clickbait,nieuwsprimeur.wordpress.com,dehoaxwizer,1
NL-clickbait,nieuwstrend.nu,dehoaxwizer,1
NL-clickbait,not100.nl,dehoaxwizer,1
NL-clickbait,niburu.co,dehoaxwizer,1
NL-clickbait,smullen-maar.nl,dehoaxwizer,1
NL-clickbait,Opmerkelijkvandaag.com,dehoaxwizer,0
NL-clickbait,pauwnieuws.nl,dehoaxwizer,1
NL-clickbait,prankster.nl,dehoaxwizer,1
NL-clickbait,revolutionaironline.com,dehoaxwizer,1
NL-clickbait,Zwedenrommelig.com,dehoaxwizer,0
NL-clickbait,snuggerd.nl,dehoaxwizer,1
NL-clickbait,Uptime2wakeup.me,dehoaxwizer,0
NL-clickbait,Weetjestipsenweetjes.nl,dehoaxwizer,0
NL-clickbait,tis-wat.nl,dehoaxwizer,1
NL-clickbait,trendbuzz.nl,dehoaxwizer,1
NL-clickbait,trendingvideos.nl,dehoaxwizer,0
NL-clickbait,trendjournaal.nl,dehoaxwizer,0
NL-clickbait,trendnieuws.nl,dehoaxwizer,1
NL-clickbait,trendnova.nl,dehoaxwizer,1
NL-clickbait,trendviraal.nl,dehoaxwizer,0
NL-clickbait,uitgelicht.nu,dehoaxwizer,1
NL-clickbait,united-lightworkers.be,dehoaxwizer,1
NL-clickbait,vaccinatieraad.nl,dehoaxwizer,1
NL-clickbait,viraal.nu,dehoaxwizer,1
NL-clickbait,viraalpunt.nl,dehoaxwizer,1
NL-clickbait,viralfly.nl,dehoaxwizer,0
NL-clickbait,viralmundo.nl,dehoaxwizer,1
NL-clickbait,viralnext.nl,dehoaxwizer,1
NL-clickbait,viralsonline.nl,dehoaxwizer,0
NL-clickbait,Viraltje.net,dehoaxwizer,0
NL-clickbait,viraltrend.nl,dehoaxwizer,0
NL-clickbait,vrouwendingen.com,dehoaxwizer,1
NL-clickbait,Knowwanttoknow.nl,dehoaxwizer,0
NL-clickbait,wanttoknow.be,dehoaxwizer,1
NL-clickbait,Wakkerwijwordenwakker.org,dehoaxwizer,0
NL-clickbait,wtfbro.nl,dehoaxwizer,0
NL-clickbait,xandernieuws.punt.nl,dehoaxwizer,1
NL-clickbait,zaplog.nl,dehoaxwizer,0
NL-clickbait,hln.be ,dehoaxwizer,1
NL-clickbait,nieuwsblad.be ,dehoaxwizer,1
NL-opinion,fenixx.org,haye+dehoaxwizer,1
NL-opinion,ninefornews.nl,haye+dehoaxwizer,1
NL-opinion,worldunity.me,haye+dehoaxwizer,1
NL-opinion,bovendien.com,haye+dehoaxwizer,1
NL-nieuws,kpnvandaag.nl,nieuwsbronnen,1
